dataset,random_seed,forecast_model,cf_model,horizon,desired_change,fraction_std,forecast_smape,forecast_mase,validity_ratio,proximity,compactness,step_validity_auc
cif2016,39,seq2seq,BaseNN,12,0.1,1.0,11.431560400721766,1.6217066261339284,0.5250771604938272,1.5184418267151818,0.017592592592592597,0.2603202160493827
cif2016,39,gru,ForecastCF,12,0.1,1.0,11.035120740527384,1.5141319376568336,0.7804783950617283,0.16159163637815385,0.552469135802469,0.6437114197530864
cif2016,39,gru,BaseShift,12,0.1,1.0,11.035120740527384,1.5141319376568336,0.49459876543209874,0.26535478267092205,0.09074074074074075,0.3332368827160494
cif2016,39,gru,BaseNN,12,0.1,1.0,11.035120740527384,1.5141319376568336,0.46894290123456783,1.5184418267151818,0.017592592592592597,0.2632137345679012
cif2016,39,nbeats,ForecastCF,12,0.2,1.0,11.060504858335745,1.6652246934992538,0.661844135802469,0.3312560027402376,0.3388888888888889,0.5029899691358025
cif2016,39,nbeats,BaseShift,12,0.2,1.0,11.060504858335745,1.6652246934992538,0.31153549382716045,0.5307095653418435,0.04537037037037037,0.02507716049382716
cif2016,39,nbeats,BaseNN,12,0.2,1.0,11.060504858335745,1.6652246934992538,0.5308641975308641,1.502451946438635,0.01898148148148148,0.32089120370370366
cif2016,39,wavenet,ForecastCF,12,0.2,1.0,9.229029622886715,1.3340127061485476,0.7023533950617283,0.36148316477068154,0.5862654320987654,0.5771604938271605
cif2016,39,wavenet,BaseShift,12,0.2,1.0,9.229029622886715,1.3340127061485476,0.2559799382716049,0.5307095653418435,0.04537037037037037,0.02083333333333333
cif2016,39,wavenet,BaseNN,12,0.2,1.0,9.229029622886715,1.3340127061485476,0.18460648148148148,1.502451946438635,0.01898148148148148,0.015817901234567902
cif2016,39,seq2seq,ForecastCF,12,0.2,1.0,11.431560400721766,1.6217066261339284,0.7623456790123457,0.20468144054719456,0.4731481481481482,0.634837962962963
cif2016,39,seq2seq,BaseShift,12,0.2,1.0,11.431560400721766,1.6217066261339284,0.40219907407407407,0.5307095653418435,0.04537037037037037,0.11950231481481483
cif2016,39,seq2seq,BaseNN,12,0.2,1.0,11.431560400721766,1.6217066261339284,0.5428240740740741,1.502451946438635,0.01898148148148148,0.2827932098765432
cif2016,39,gru,ForecastCF,12,0.2,1.0,11.035120740527384,1.5141319376568336,0.7748842592592593,0.21525622416974638,0.4955246913580247,0.6406250000000001
cif2016,39,gru,BaseShift,12,0.2,1.0,11.035120740527384,1.5141319376568336,0.41377314814814814,0.5307095653418435,0.04537037037037037,0.2048611111111111
cif2016,39,gru,BaseNN,12,0.2,1.0,11.035120740527384,1.5141319376568336,0.49189814814814814,1.502451946438635,0.01898148148148148,0.3201195987654321
cif2016,39,nbeats,ForecastCF,12,0.3,1.0,11.060504858335745,1.6652246934992538,0.6103395061728394,0.35420387708228035,0.3757716049382717,0.38290895061728397
cif2016,39,nbeats,BaseShift,12,0.3,1.0,11.060504858335745,1.6652246934992538,0.2552083333333333,0.7960643480127656,0.03441358024691358,0.011959876543209876
cif2016,39,nbeats,BaseNN,12,0.3,1.0,11.060504858335745,1.6652246934992538,0.5098379629629629,1.4701677793432248,0.020679012345679013,0.32822145061728397
cif2016,39,wavenet,ForecastCF,12,0.3,1.0,9.229029622886715,1.3340127061485476,0.6435185185185185,0.3988275343015311,0.5541666666666667,0.47656249999999994
cif2016,39,wavenet,BaseShift,12,0.3,1.0,9.229029622886715,1.3340127061485476,0.20833333333333334,0.7960643480127656,0.03441358024691358,0.018422067901234566
cif2016,39,wavenet,BaseNN,12,0.3,1.0,9.229029622886715,1.3340127061485476,0.1527777777777778,1.4701677793432248,0.020679012345679013,0.020061728395061724
